state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
51,Wyoming,35,"Carroll County, Virginia",29856,21.16157556,6318,WY
20,Maine,117,"Marshall County, Kansas",10005,21.15942029,2117,ME
20,Maine,29,"Cloud County, Kansas",9339,21.15858229,1976,ME
46,Vermont,3,"Aurora County, South Dakota",2729,21.14327593,577,VT
48,Washington,337,"Montague County, Texas",19478,21.13666701,4117,WA
54,Wyoming,23,"Grant County, West Virginia",11815,21.1341515,2497,WY
27,Montana,47,"Freeborn County, Minnesota",30897,21.12826488,6528,MT
38,Oregon,67,"Pembina County, North Dakota",7206,21.12128782,1522,OR
26,Missouri,7,"Alpena County, Michigan",29068,21.11944406,6139,MO
31,New Jersey,27,"Cedar County, Nebraska",8675,21.11815562,1832,NJ
19,Louisiana,7,"Appanoose County, Iowa",12669,21.10663825,2674,LA
54,Wyoming,103,"Wetzel County, West Virginia",16157,21.10540323,3410,WY
16,Iowa,79,"Shoshone County, Idaho",12571,21.10412855,2653,IA
46,Vermont,25,"Clark County, South Dakota",3625,21.10344828,765,VT
31,New Jersey,135,"Perkins County, Nebraska",2924,21.10123119,617,NJ
27,Montana,41,"Douglas County, Minnesota",36620,21.09229929,7724,MT
37,Oklahoma,31,"Carteret County, North Carolina",68228,21.08811632,14388,OK
42,South Dakota,105,"Potter County, Pennsylvania",17377,21.07958796,3663,SD
8,Delaware,7,"Archuleta County, Colorado",12174,21.06127813,2564,DE
19,Louisiana,73,"Greene County, Iowa",9174,21.05951602,1932,LA
5,California,73,"Lafayette County, Arkansas",7270,21.05914718,1531,CA
35,North Dakota,55,"Taos County, New Mexico",32943,21.04240658,6932,ND
53,Wyoming,19,"Ferry County, Washington",7652,21.04025091,1610,WY
29,Nevada,73,"Gasconade County, Missouri",14948,21.03960396,3145,NV
19,Louisiana,77,"Guthrie County, Iowa",10740,21.02420857,2258,LA
31,New Jersey,39,"Cuming County, Nebraska",9078,21.01784534,1908,NJ
38,Oregon,9,"Bottineau County, North Dakota",6634,21.01296352,1394,OR
47,Virginia,171,"Unicoi County, Tennessee",18069,21.00835685,3796,VA
51,Wyoming,169,"Scott County, Virginia",22570,20.99689854,4739,WY
19,Louisiana,147,"Palo Alto County, Iowa",9208,20.99261512,1933,LA
31,New Jersey,63,"Frontier County, Nebraska",2573,20.9871745,540,NJ
29,Nevada,81,"Harrison County, Missouri",8722,20.96996102,1829,NV
